way_id,building,building:levels,height
414570049,house,1,-
414570050,house,1,-
414570051,house,1,-
414570052,house,1,-
414570053,house,1,-
414570054,house,1,-
414570055,house,1,-
414570056,house,2,-
414570057,house,2,-
414570062,house,1,-
414570063,house,1,-
414570064,house,1,-
414570065,house,1,-
414570066,house,2,-
414570067,house,1,-
414570068,house,1,-
414570069,house,2,-
414570070,house,2,-
414570071,house,2,-
414570072,house,2,-
414570073,house,2,-
414570074,house,2,-
414570075,house,2,-
414570076,house,2,-
414570077,house,2,-
414570078,house,2,-
414570079,house,1,-
414570080,house,2,-
414570081,house,1,-
414570082,house,1,-
414570083,house,1,-
414570084,house,1,-
414872472,yes,3,-
414878690,apartments,6,-
414879189,apartments,18,-
414880831,school,4,-
414880833,apartments,20,-
414880834,apartments,20,-
414880835,apartments,15,-
414880836,apartments,21,-
414880837,apartments,18,-
414880838,apartments,15,-
414880839,apartments,16,-
414880840,apartments,18,-
415339930,apartments,10,-
415340419,apartments,4,-
415382632,house,1,-
415820010,university,3,-
417750807,house,2,-
417750810,house,1,-
417750811,house,2,-
417750812,house,1,-
417750813,house,1,-
417750814,house,1,-
417750818,house,2,-
417750823,house,1,-
417750825,house,1,-
417750829,house,2,-
417750830,house,2,-
417750832,house,2,-
417750833,house,1,-
417750834,house,2,-
417750835,house,2,-
417750837,house,2,-
417750839,house,2,-
417750840,house,1,-
417750841,house,2,-
417750843,house,1,-
417750846,house,1,-
417750848,house,2,-
417750850,house,2,-
417750851,house,1,-
417750853,house,1,-
417750855,house,1,-
417750859,house,2,-
417750861,house,2,-
417750863,house,2,-
417750864,house,2,-
417750865,house,2,-
417750867,house,2,-
417750870,house,2,-
417750871,house,2,-
417750874,house,1,-
417750875,house,2,-
417751179,commercial,1,-
417984931,house,1,-
417984932,house,1,-
417984933,house,1,-
417984936,house,1,-
417984948,house,1,-
417984950,house,1,-
417984954,house,2,-
417984956,house,2,-
417984957,house,2,-
417984958,house,2,-
417984959,house,1,-
417984960,house,2,-
417984961,house,2,-
417984962,house,1,-
417984963,house,1,-
418383021,apartments,8,-
418383022,apartments,16,-
418383023,apartments,14,-
419596350,house,2,-
419596351,house,2,-
419596352,house,2,-
419596353,house,2,-
419596354,house,2,-
419596355,house,2,-
419596356,commercial,1,-
